ID,n_sms,mean_happy,mean_lonely
734,12,6.833333333333333,3.8125
737,15,6.6,3.357142857142857
738,12,8.5,2.5714285714285716
739,17,6.0,5.833333333333333
741,11,8.545454545454545,3.090909090909091
744,16,6.625,3.727272727272727
745,16,5.0,3.5
746,12,7.25,3.75
747,12,8.333333333333334,3.090909090909091
750,14,5.785714285714286,3.076923076923077
751,15,6.533333333333333,2.8
754,3,6.666666666666667,5.8
755,4,9.0,4.6
759,3,4.0,7.0
761,9,5.777777777777778,3.1
762,14,6.785714285714286,3.75
763,8,8.125,4.642857142857143
765,3,6.666666666666667,4.5
766,16,3.9375,5.909090909090909
767,11,6.2727272727272725,4.454545454545454
768,13,7.769230769230769,3.5714285714285716
769,12,6.666666666666667,3.090909090909091
774,15,5.933333333333334,5.6
776,2,8.0,4.666666666666667
778,15,6.066666666666666,5.066666666666666
779,0,,
780,14,5.857142857142857,5.105263157894737
781,13,6.461538461538462,2.8125
784,9,6.111111111111111,4.933333333333334
786,4,8.0,5.5
787,13,8.461538461538462,2.8461538461538463
789,0,,
792,14,8.5,2.3846153846153846
797,16,5.9375,4.769230769230769
799,13,6.076923076923077,5.090909090909091
800,11,6.545454545454546,5.181818181818182
801,15,4.266666666666667,5.7
802,11,7.7272727272727275,2.0833333333333335
807,3,8.333333333333334,3.8333333333333335
810,15,6.733333333333333,4.533333333333333
811,12,8.0,4.857142857142857
813,3,5.666666666666667,3.6
815,4,6.75,5.0
818,11,7.545454545454546,4.75
823,0,,
825,20,6.55,3.5
826,14,6.357142857142857,4.3
828,13,6.0,4.266666666666667
829,12,3.75,3.0714285714285716
831,15,5.933333333333334,4.133333333333334
832,15,3.4,4.5
834,13,7.846153846153846,3.8666666666666667
835,16,7.75,4.7
838,14,6.785714285714286,4.25
839,19,7.2631578947368425,2.4285714285714284
841,4,9.0,2.75
842,12,6.833333333333333,4.636363636363637
843,15,6.6,4.6
844,14,7.642857142857143,3.5
845,15,7.333333333333333,5.0
846,14,7.642857142857143,3.9
847,16,5.0,4.833333333333333
848,13,7.538461538461538,3.0
849,19,8.31578947368421,6.571428571428571
853,10,5.7,5.15
854,10,6.8,6.071428571428571
855,10,4.3,5.2
856,12,6.166666666666667,6.176470588235294
857,10,7.8,3.090909090909091
859,18,5.388888888888889,2.0
860,17,4.882352941176471,5.076923076923077
865,18,6.166666666666667,4.2
866,13,6.076923076923077,5.916666666666667
867,12,6.416666666666667,3.0
868,18,3.3333333333333335,6.875
869,12,6.75,4.6
872,12,7.5,5.428571428571429
873,16,9.875,2.8
876,14,8.142857142857142,2.2857142857142856
877,5,7.4,6.5
878,5,7.2,4.666666666666667
879,17,3.9411764705882355,5.6
881,16,8.625,4.6
882,12,7.416666666666667,4.428571428571429
