id,wta_change_code1,wta_change_code2,wta_change_code3,startdate,fbhrs_iphone_success,battery_days,fbhrs_battery,fbhrs_nonbattery,fbhrs_noapp,autom_reac,apps_less_use
505,,,,03/12/2018 07:57,,,,10.0,,No,ANONYMIZED
514,Other,,,03/12/2018 07:53,Yes,Last 10 days,6 h 34 m,,,No,ANONYMIZED
516,Strategic BDM,,,03/12/2018 14:28,Yes,Last 10 days,3 hrs 35 min,,,,ANONYMIZED
520,,,,04/12/2018 15:13,Yes,Last 7 days,2h 32min,,,Yes,ANONYMIZED
522,,,,04/12/2018 18:26,,,,3.0,,No,ANONYMIZED
524,Other,,,03/12/2018 08:25,,,,30.0,,No,ANONYMIZED
526,,,,03/12/2018 08:33,,,,1.0,,No,ANONYMIZED
529,Strategic BDM,,,06/12/2018 00:01,,,,,25.0,No,ANONYMIZED
535,Other,,,03/12/2018 07:52,Yes,Last 10 days,3 hrs and 9 min,,,Yes,ANONYMIZED
539,Strategic BDM,,,03/12/2018 08:05,,,,,1.0,No,ANONYMIZED
540,Other,,,03/12/2018 09:38,,,,,10.0,No,ANONYMIZED
541,,,,03/12/2018 07:52,Yes,Last 7 days,0,,,No,ANONYMIZED
542,Time shock,,,03/12/2018 08:57,,,,,3.0,,ANONYMIZED
543,,,,03/12/2018 17:08,,,,,3.0,No,ANONYMIZED
546,Strategic BDM,,,03/12/2018 11:11,,,,,2.0,No,ANONYMIZED
549,,,,03/12/2018 08:06,,,,20.0,,No,ANONYMIZED
551,,,,03/12/2018 08:20,Yes,Last 10 days,1hr 5min,,,,ANONYMIZED
552,Time shock,,,04/12/2018 15:33,,,,0.0,,,ANONYMIZED
554,Other,,,03/12/2018 13:32,Yes,Last 10 days,5 hrs and 27 min,,,No,ANONYMIZED
555,Strategic BDM,,,07/12/2018 19:30,,,,3.5,,No,ANONYMIZED
557,Other,,,03/12/2018 16:29,,,,21.0,,No,ANONYMIZED
560,,,,04/12/2018 15:43,,,,2.0,,,ANONYMIZED
563,Other,,,03/12/2018 09:05,,,,40.0,,Yes,ANONYMIZED
568,,,,03/12/2018 18:45,,,,,10.0,No,ANONYMIZED
569,,,,03/12/2018 08:29,,,,3.5,,Yes,ANONYMIZED
570,,,,06/12/2018 07:37,Yes,Last day,15 minutes,,,Yes,ANONYMIZED
